KATZENBERGER H. GESMBH BETON - U. FERTIGTEILWERKE ,,Weinbergstraße 4 ,,3500 Krems ,,,vertrieb@katzenberger.com ,
KATZENBERGER BETON - UND FERTIGTEILE GMBH & CO. KG ,,Rotholzerweg 49 ,,2333 Leopoldsdorf bei Wien Süd ,,,office@katzenberger.co.at ,
LANG HANS ING. GESMBH BETON - U. BAUSTOFFWERKE ,,Alte Landstraße 44 ,,9020 Klagenfurt ,,,ffice@langbau.at ,
LEIER MICHAEL KG ,St. Andräerstraße ,7132 Frauenkirchen ,,5550 Radstadt ,,,,www.leier.at 
LEIER MICHAEL KG ,Johannesgasse 46 ,7312 Horitschon ,,9900 Lienz ,,,,www.leier.at 
LEITL BAUFERTIGTEIL GMBH ,Leimhof 2 ,5144 Handenberg ,,9020 Klagenfurt ,,,,www.leitl.at 
LEITL BETON GESMBH & CO. WERK HÖRSCHING ,,Bahnhofstraße 20 ,,4942 Gurten ,,,office@leitl.at ,
MABA 1KG HABA BETON JOHANN BARTLE- ,,,,Av. Rousseau 40 ,,,,T. +43 2783 4138 
HABAU HOCH - U.TIEFBAUGESELLSCHAFT M.B.H. ,,,,Av. Rousseau 40 ,,F. +43 7262 555-1500 ,,
HEHENBERGER BAUGESELLSCHAFT GMBH & CO. KG ,,,,3470 Kortenaken ,,F. +43 7287 7213-30 ,,
ISO-SPAN BAUSTOFFWERK GESELLSCHAFT M.B.H. ,,Madling 177 ,,HollestFaat 104 ,,,nfo@isospan.at ,
JOSEF LEI-INER BAUMEISTER ,Südlandstrasse 1 ,3300 Amstetten ,,Siemenslaan 7 ,,,,www.lehner-beton.at 
KAMIN - U. BETONWERK ROHR OBERMAIR-RIESENEDER GMBH & CO. KG ,,,,6762 Saint-Mard ,,F. +43 7258 2203-20 ,,
FERTIGTEILINDUSTRIE GMBH ,Feuerwerkanstalt ,2752 Wöllersdorf ,,3945 Ham ,,,,www.maba.at 
MABA FERTIGTEILINDUSTRIE GMBH ,,Flugplatzstraße 3 ,,F. +32 13 77.83.95 ,,,office@maba.at ,
PIMISKERN E. GMBH & CO. KG BETONWERK - BAUSTOFFE ,,Rathausstraße 10 ,,9140 Temse ,,,office@pimiskern.at ,
RAMBÖCK GESMBH BETONWERK - BAUSTOFFE ,,Holzhauser Straße 100 ,,3570 Alken ,,,office@ramböck.at ,
RAUTER FERTIGTEILBAU GMBH SW UMWELTTECHNIK ÖSTERREICH GMBH ,,,,4190 Jemeppe-sur-Sambre ,,F. +43 7259 3135-6 ,,
SYSTEMBAU EDER GMBH & CO. KG ,Bruck 39 ,4722 Peuerbach ,,9280 Wieze ,,,,www.eder.co.at 
THERMO-SPAN BAUSTOFFWERK HARML & QUEHENBERGER GMBH ,,Maschl 28 ,,,,,,
TIBA VER - UND ENTSORGUNGSSYSTEME ,,Gewerbegebiet ,,Rue de Familleureux 152 ,,F. +43 5 77 15 450-101 ,,
TIBA VER - UND ENTSORGUNGSSYSTEME ,,Industriestraße 28 ,,4681 Hermalle-sous-Argenteau ,,,infotiba@tibanet.com ,
TIBA VER - UND ENTSORGUNGSSYSTEME ,,Römerweg 3 ,,Rue Rebonmoulin 16 ,,,infotiba@tibanet.com ,
TIBA VER - UND ENTSORGUNGSSYSTEME ,,Kroisbach 47 ,,9240 Zele ,,,infotiba@tibanet.com ,
TREPKA ALFRED GMBH ,Bahnhofallee 2 ,3200 Obergrafendorf ,,8830 Tjele ,,,,www.trepka.at 
VS-HOHLDIELEN-WEST GESELLSCHAFT M.B.H. ,,Rettenbach 12c ,,Vardevej 2 ,,,office@vs-west.at ,
WEISSENBÖCK BAUSTOFFWERK GESELLSCHAFT M.B.H. ,,Weissenböckstraße 1 ,,9100 Aalborg ,,,office@weissenboeck.co.at ,
ZEHETNER BAUSTOFFHANDEL + BETONWERK GMBH ,,,,3700 Rønne ,,F. +43 7472 62351-11 ,,
ERLUS BAUSTOFFWERKE AG ,Haupstr. 106 ,D-84086 Neufahrn ,,9610 Nørager ,,,,www.erlus.de 
GARTENAUER FARBEN DER GEBRÜDER LEUBE ,,5083 Gartenau - St. Leonhard ,,8840 Rødkærsbro ,,,,www.leube.at 
HUTTER & SCHRANTZ AG ,Großmarktstraße 7 ,1230 Wien ,,3782 Klemensker ,,,,www.hutterschrantz.at 
INGENIEURBÜRO HOBL GMBH ,Am Weiher 5 ,4600 Schleißheim ,,4700 Næstved ,,,,www.ibhobl.at 
LIAS ÖSTERREICH GMBH ,Fabrikstraße 11 ,8350 Fehring ,,6270 Tønder ,,,,www.liapor.com 
PURATOR WALLNER & NEUBERT GESELLSCHAFT M.B.H. ,,Schönbrunner Straße 13 ,,7200 Grindsted ,,,pwn@pwn.at ,
VEREINIGUNG DER ÖSTERREICHISCHEN ZEMENTINDUSTRIE (VÖZ) ,,,,7451 Sunds ,,F. +43 1 714 66 81-66 ,,
VOEST ALPINE STAHL GMBH ,Voestalpine Straße 3 ,4020 Linz ,,6230 Rødekro ,,,,www.voestalpine.com/stahl 
SCHNAUER RAUMZELLENBAU GMBH & CO. KG ,,Hafenstraße 57 ,,9700 Brønderslev ,,,garage@schnauer.at ,
SEMMELROCK BAUSTOFFINDUSTRIE GMBH ,,Maria Lanzendorfer Str.17 ,,SE-331 29 Värnamo ,,,office@semmelrock.com ,
SEMMELROCK BAUSTOFFINDUSTRIE GMBH ,,Stadlweg 30 ,,Olkiluodontie 380 ,,,office@semmelrock.com ,
SEPP HARML GESELLSCHAFT M.B.H. ,,Alte Bundesstraße 17 ,,04251 Kerava ,,,baustoffe@harml.com ,
STALLIT GESMBH ,Postfach 25 ,8783 Gaishorn ,,F. +358 201 206311 ,,,,www.stallit.com 
SW UMWELTTECHNIK ÖSTERREICH GMBH ,,Stribacherstraße 6 ,,Olkiluodontie 380 ,,,lienz@sw-umwelttechnik.at ,
SW UMWELTTECHNIK ÖSTERREICH GMBH ,,Bahnstraße 87-93 ,,04251 Kerava ,,,office@sw-umwelttechnik.at ,
RIEDER GESMBH BETONWERK ,Bahnhofstr. 1 1 ,4481 Asten ,,F. +358 201 206311 ,,,,www.rieder.at 
RIEDER GESMBH BETONWERK ,Mühlenweg 22 ,5751 Maishofen ,,7451 Sunds ,,,office@rieder.at ,
ROMBERGER GESMBH BETON - FERTIGTEILWERK ,,Rombergerstrasse 3 ,,6230 Rødekro ,,,,U. 
RUDOLF GERSTL GMBH & CO. KG ,Kalkofenstraße 25 ,4600 Weis ,,9700 Brønderslev ,,,,www.gerstl.at 
SCHIEDEL KAMINSYSTEME GMBH ,Friedrich-Schiedel-Straße 2-6 ,4542 Nußbach ,,SE-331 29 Värnamo ,,,,www.schiedel.at 
AGREF N.V. ,"Tragelweg 4, Overschelde ",9230 Wetteren ,,32030 Seren del Grappa BL ,,,info@agref.be ,
ALPHA-BETON S.P.R.L. ,Zoning Industriel Il ,4780 St.-Vith ,,46100 Mantova MN ,,,info@alphabeton.com ,
ALPRECO N.V. ,Heindonksesteenweg 2-4 ,2830 Willebroek ,,46043 Castiglione delle Stiviere MN ,,,ingrid-a@alpreco.be ,
BATIDAL S.A. ,Rue Chesseroux 13 ,4651 Battice ,,,,,,
BETCA N.V. ,Doelhaagstraat 81 ,2840 Rumst ,,,,,,
BETON DE LA LOMME S.A. ,Parc Industriel ,5580 Rochefort ,,66054 Vasto CH ,,,info@betondelalomme.be ,
BÉTONS PRÉPARÉS B.P.M.C. - MANUFACTURÉS DU CENTRE S.A. ,,,,53041 Asciano Sl ,,F. +32 71 44.02.50 ,,
B.P.M.N. - BÉTONS PRÉPARÉS MANUFACTURÉS DU NAMUROIS S.A. ,,,,info@tegolaia.com ,,F. +32 71 44.02.50 ,,
BOVIN ,BETON & NATUURSTEEN N.v. ,Schoolstraat 6 ,,Solignano PR ,,,,www.bovin-beton.be 
B.W.K. Sierbeton N.v. ,,B.W.K. Sierbeton N.v. ,,14050 Asti AT ,,F. +32 3 774.01.98 ,,
CIERS BETON B.V.B.A. ,Gentstraat 26 ,8780 Oostrozebeke ,,52040 Civitella In Val di Chiana AR ,,Rue des Rubaniers 21 ,,
CONFORBETON S.A. ,Rue des Pays-Bas 48 ,6061 Montignies-sur-Sambre ,,23030 Lovero SO ,,Reeckervelt 9 ,,
DAUBY S.P.R.L. ,Rue Georges Tourneur 17 ,6030 Marchienne-au-Pont ,,38010 Zambana TN ,,,g.collet@daubybeton.be ,
DE DONCKER B.V.B.A. ,Nieuwe Kaai 20 ,1760 Roosdaal ,,36030 Fara Vicentino VI ,,,info@ddr.be ,
DECOMO N.V.-S.A. ,"Bd. Industriel, Nijverheidslaan 96 ",7700 Mouscron Moeskroen ,,73040 Spec-chia LE ,,,info@decomo.be ,
DECONSTRUCT N.V. ,Centrum-Zuid 2606 ,3530 Houthalen ,,,,,,
DE SMEDT-BETON N.V. ,Molenstraat 60 ,1880 Nieuwenrode ,,62029 Tolentino MC ,,,info@desmedtbeton.be ,
DOBBELAERE-BONTE N.V. ,Galgenveldstraat 31 ,8700 Tielt ,,88900 Crotone KR ,,,,
DOUTERLOIGNE N.V. ,Vichtsesteenweg 159 ,8570 Anzegem ,,52037 Sansepolcro AR ,,,info@douterloigne.com ,
USINES DUPUIS S.A. ,"Av. Rousseau 40, 4éme ét. ",6001 Marcinelle ,,info@civaspa.it ,,,bpmn_dir@betondc.com ,
EBEMA N.V. ,Dijkstraat 3 ,3690 Zutendaal ,,Via Don Milani 5 ,,,ludo.panis@ebema.be ,
E.B.R. N.V. ,Oostmalsesteenweg 204 ,2310 Rijkevorsel ,,24050 Calcinate BG ,,,ludo.panis@ebema.be ,
E.B.S.-BETON N.V. ,Dijkstraat 3 ,3690 Zutendaal ,,80023 Caivano NA ,,,ludo.panis@ebema.be ,
ECHO N.V. ,Donderslagweg 25 ,3530 Houthalen ,,25037 Pontoglio BS ,,,info@echobel.com ,
ELBETON N.V. ,Nijverheidslaan 10 ,9880 Aalter ,,Sant'Ermete ,,,elbeton@elbeton.be ,
ERGON N.V. ,Marnixdreef 5 ,2500 Lier ,,36010 Zane VI ,,,info@ergon.be ,
EUROBETON N.V. ,Vaartstraat 13 ,2240 Zandhoven ,,Via Don Milani 45 Z.l. ,,,,
EUROPABETON S.P.R.L. ,Route de Luxembourg 16 ,4960 Malmedy ,,Castelli Calepio BG ,,,info@europa-beton.com ,
EWI N.V. ,Scheldekaai 9 ,9690 Kluisbergen ,,pregnolato@cementubi.it ,,,info@ewi.be ,
FREDERICKX B.V.B.A. ,Schuttersveldstraat 1 1 ,Industriezone Lanklaar ,,31040 Postioma di Paese TV ,,,,E +32 89 65.13.31 
ANDRE ,Fréres & BROOS S.A. ,Rue de Dampicourt 22 ,,30024 Musile di Piave VE ,,,,ARBECO N.V. 
BASF CONSTRUCTION ,BELGIUM N.v. ,Nijverheidsweg 89 ,,A. ZAMBETTI SPA ,,,,www.basf-cc.be 
CHEMICALS ,3272 Messelbroek ,T. +32 13 78.00.78 ,,24020 Gorie BG ,,,,www.echobel.com 
GA-VRA B.V.B.A. ,Fabriekstraat 16 ,2440 Geei ,,al Reghena PN ,,,info@gavra.be ,
GEERKENS N.V. ,Weg op Bree 125 ,3670 Meeuwen ,,31100 Treviso TV ,,,info@lambertgeerkens.com ,
GILLES A ROCHEFORT S.P.R.L. ,Rue de l'Abattoir 28 ,5580 Rochefort ,,04020 Spigno Saturnia LT ,,,,GOUDEZEUNE BETON N.v. 
HOOLANTS & ZOON B.V.B.A. ,Martelarenstraat 98 ,1800 Vilvoorde-Peutie ,,20010 Buscate Ml ,,,,
ILLEGEMS BETONPRODUKTEN B.V.B.A. ,,Italiéstraat 8 - Industriezone TTS ,,BENDA - LUTZ ,,,,www.ibeton.be 
JACOBS N.V. ,Berlaarbaan 404 ,2861 0.-L.-V.-Waver ,,Sienkiewicza 13 ,,,info@jacobsbeton.be ,
JUMA BETON N.V. ,Industrieweg 6 - IZ Berkebossen ,2490 Balen ,,00-842 Warszawa ,,,info@jumabeton.be ,
BETONBEDRIJF KERCKHOVE N.V. ,Keibergstraat 107 ,8820 Torhout ,,02-661 Warszawa ,,,info@kerckhove.be ,
KERKSTOEL 2000+ N.V. ,Industrieweg 11 ,2280 Grobbendonk ,,Chemiköw 1 ,,,info@kerkstoel.be ,
BETONWERK KEUPERS-APPELTANS N.V. ,,"Brabantsestraat 21, PB 43 ",,N-5700 Voss ,,,,www.bka.be 
KORATON N.V.-S.A. ,Visserskaai 26 ,8500 Kortrijk ,,,,,,
KUNNEN BETONPRODUKTEN N.V. ,Industrieterrein Kanaal Noord 1 114 ,3960 Bree ,,,,,,
ETS. LEBRUN S.P.R.L. ,Chaussée du Roeulx 129 ,7060 Soignies ,,,,,,
MABEGRA S.A. ,Rue de la Jonction 20 ,6990 Hotton ,,2120 Sagstua ,,,info@mabegra.be ,
MARLUX-KLAPS N.V. ,Dellestraat 41 ,3550 Heusden-Zolder ,,1338 Sandvika ,,,info@marlux.be ,
MARLUX-KLAPS N.V. ,Parc Industriel de Mornimont ,Rue de la Vieille Sambre ,,,,,,
MARLUX-KLAPS N.V. ,"Industrieterrein, Nieuwlandlaan 1 ",3200 Aarschot ,,Postboks 93 Sentrum ,,,info@marlux.be ,
MARLUX-KLAPS N.V. ,Albertkade 3 ,3980 Tessenderlo ,,,,,,
MARTENS-BETON N.V. ,Berkebossenlaan 10 ,2400 Mol ,,,,,,
MAX PELS BETON N.V. ,Steenweg 109 ,3570 Alken ,,,,,,
MEGATON N.V. ,Industriezone 2 - Nederwijk-Oost 279 ,9400 Ninove ,,,,,,
MBI BETON BELGIÉ B.V.B.A. ,Moervaartkaai 15 ,9042 Gent ,,,,,,
NERVA N.V. ,Kortrijksesteenweg 244 ,8530 Harelbeke ,,,,,,
NEWCON N.V. ,Oude Gentweg 81 ,8820 Torhout ,,,,,,
OETERBETON N.V. ,Hooggeisterveld 15 ,3680 Maaseik-Neeroeteren ,,,,,,
OLIVIER BETONFABRIEK B.V.B.A. ,Schaapbruggestraat 26 ,8800 Rumbeke ,,,,,,
PAESEN BETONFABRIEK N.V. ,Centrum Zuid 2007 ,3530 Houthalen ,,Postboks 1 1 75 Sentrum ,,,info@paesenbeton.be ,
PAULI GEBR. N.V. ,Munsterbilzenstraat 28 ,3740 Munsterbilzen ,,,,,,
PREFACO ,Zwaluwstraat 21 ,3530 Houthalen ,,4033 Stavanger ,,,info@prefaco.be ,
PREFACO (MAATSCHAPPELIJKE ZETEL) ,,Hoeksken 5a ,,Postboks 8126 Vågsbygd ,,,,www.prefaco.be 
PREFACO ,Tiendenstraat 5 ,3690 Zutendaal ,,,,,,
F. +32 89 61.31.22 ,www.prefaco.be ,info@prefaco.be ,,,,,,
PREFADIM BELGIUM N.V. ,Desselgemsesteenweg 28 ,8540 Deerlijk ,,,,,,
PREFER S.A. ,Sart d'Avette 110 ,4400 Awirs ,,1371 Asker ,,,info.prefer@group-portier.be ,
PROBEMAL S.A. ,Route de Luxembourg 16 ,4960 Malmedy ,,,,,,
RBB N.V. ,Industrieterrein Ravenshout 3319 ,end,,,,,,
ROOSENS BETONS S.A. ,Rue de Familleureux 152 ,7170 Bois d'Haine ,,VBI HUISSEN B.v. ,,,info@roosens.com ,
ROOSENS BETORIX S.A. ,Z.l. de la SPI ,Rue Voie de Liege 20 ,,6850 AA Huissen ,,,,www.roosens.com 
ROOSENS PRODUCTS S.A. ,Rue de la Station 83 ,7170 Bois d'Haine ,,7740 AD Coevorden ,,,,www.roosens.com 
S.V.K. N.V. ,Aerschotstraat 114 ,9100 Sint-Niklaas ,,4493 ZG Kamperland ,,,info@svk.be ,
SCHELFHOUT N.V. ,Industriezone Heikemp 1121 ,3640 Kinrooi ,,8861 NW Harlingen ,,,info@schelfhout-beton.be ,
SCHEYS BETON N.V. ,Staatsbaan 125 ,3210 Lubbeek ,,4000 HD Tiel ,,,info@scheysbeton.be ,
SCHIEDEL-BEMAL N.V. ,Vaartstraat 64 ,3920 Lommel ,,2400 AC Alphen A/D Rijn ,,,info@schiedel.be ,
SEVETON N.V. ,Meersbloem - Leupegem 58 ,9700 Oudenaarde ,,3370 AA Hardinxveld Giessendam ,,,info@seveton.be ,
REWA-BETON A.G. ,Rodt 6 ,4784 St.-Vith ,,8260 AD Kampen ,,,,
RODAL N.V. ,Meiselaan 96 ,1880 Nieuwenrode ,,4311 RL Bruinisse ,,,info@rodal.be ,
Ets. E. RONVEAUX S.A. ,,Ets. E. RONVEAUX S.A. ,,6503 GB Nijmegen ,,F. +32 83 21.29.10 ,,
SOCEA N.V. ,Vaartstraat 126 ,2520 Ranst-Oelegem ,,6503 GB Nijmegen ,,,info@socea.be ,
STAALBETON ,Oostmalsesteenweg 269 ,2310 Rijkevorsel ,,Via Castellana 197 ,,,staalbeton@staalbeton.be ,
STIJLBETON N.V. ,Schollebeekstraat 74/1 ,2500 Lier ,,20126 Milano Ml ,,,info@stijlbeton.be ,
STRUCTO N.V.-S.A. ,Steenkaai 107 ,8000 Brugge ,,29010 Calendasco PC ,,,info@structo.be ,
TRILCO N.V. ,"Industriezone 7, Herbekestraat 58 ",2620 Hemiksem ,,06078 Ponte Valleceppi PG ,,,info@echobel.com ,
TUBOBEL N.V. ,"Albertkade 4, Ravenshout 4450 ",3980 Tessenderlo ,,03024 Ceprano FR ,,,info@tubobel.be ,
URBA-STYLE B.V.B.A. ,Rue des Sabliéres 16 ,7503 Tournai ,,3645 DV Vinkeveen ,,,info@urbastyle.com ,
VAHEJA GROUP N.V. ,Lillerheidestraat 51 ,3910 Neerpelt ,,6580 AA Malden ,,,info@echobel.com ,
VALCKE PREFAB BETON N.V. ,Rodenbachstraat 30 ,8908 Vlamertinge ,,7468 ZH Enter ,,,info@valcke-prefab.be ,
VANBOCKRIJCK N.V. ,Industrieweg 10 ,3840 Borgloon ,,4900 AN Oosterhout ,,,mathieu@vanbockrijck.be ,
